id,listing,link,mileage,price,is_hybrid,date_found,price_num,mileage_num,year,days_on_market,hybrid_from_text
77,2024 Ford Maverick XLT Hybrid,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12776458,5,"$33,990",True,2025-07-22,33990,5,2024,20,True
78,Maverick XLE “Poco Milaje”,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12587367,9000,"$28,995",False,2025-07-22,28995,9000,,20,False
79,Ford Maverick XLT Supercrew 2022 $24995,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12641072,40000,"$24,995",False,2025-07-22,24995,40000,2022,20,False
80,Ford Maverick XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12755845,31446,"$26,990",False,2025-07-22,26990,31446,2022,20,False
81,FORD MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12762908,28837,"$31,995",False,2025-07-22,31995,28837,2022,20,False
82,Ford Maverick 2024 XLT Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12751011,,"$32,900",False,2025-07-22,32900,,2024,20,False
83,FORD MAVERICK XL 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12744748,,"$28,995",False,2025-07-22,28995,,2024,20,False
84,2022 Ford Maverick XLT FX4 Off-Road,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12764208,13160,"$31,990",False,2025-07-22,31990,13160,2022,20,False
85,FORD MAVERICK XL HYBRID 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12766723,3,"$29,990",True,2025-07-22,29990,3,2024,20,True
86,FORD MAVERICK XL,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12725934,,"$28,995",False,2025-07-22,28995,,,20,False
87,Ford Maverick 2024 XLT Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12678979,,"$32,900",False,2025-07-22,32900,,2024,20,False
88,FORD MAVERICK LARIAR XLT FX4 2022 #8173,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12749718,38179,"$36,999",False,2025-07-22,36999,38179,2022,20,False
89,2022/ FORD/MAVERICK/ EXTRA CLEAN **,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12727211,0000,"$29,995",False,2025-07-22,29995,0,2022,20,False
90,Ford Maverick XLT FX4 Off-Road 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12767802,13158,"$31,990",False,2025-07-22,31990,13158,2022,20,False
91,"2022 Ford Maverick XLT, Solo 29k millas",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12772822,29388,"$28,987",False,2025-07-22,28987,29388,2022,20,False
92,2024 Ford Maverick XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12773433,214,"$35,990",False,2025-07-22,35990,214,2024,20,False
93,Ford Maverick XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12772881,30021,"$27,459",False,2025-07-22,27459,30021,2022,20,False
94,2024 Ford Maverick XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12772347,7000,"$32,995",False,2025-07-22,32995,7000,2024,20,False
95,Ford Maverick XLT FX4,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12764976,13500,"$31,900",False,2025-07-22,31900,13500,,20,False
96,2023 FORD MAVERICK XLT FWD // SOLO 23K MILLAS,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12771936,23690,"$30,990",False,2025-07-22,30990,23690,2023,20,False
97,"Maverick xlt solo 7,000 millas",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12771782,7200,"$27,000",False,2025-07-22,27000,7200,,20,False
98,"Maverick solo 7,000 millas",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12771733,7200,"$27,000",False,2025-07-22,27000,7200,,20,False
99,FORD MAVERICK XLT 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12762897,12350,"$29,995",False,2025-07-22,29995,12350,2023,20,False
100,"2022 FORD MAVERICK LARIAT- 34,000millas",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12771450,34557,"$35,995",False,2025-07-22,35995,34557,2022,20,False
101,MAVERICK XLT FX4 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12701683,16620,"$34,999",False,2025-07-22,34999,16620,2022,20,False
102,Ford Maverick 2024 XLT CarbonizeGray,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12750196,,"$32,900",False,2025-07-22,32900,,2024,20,False
103,Ford Maverick 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12762277,26004,"$24,995",False,2025-07-22,24995,26004,2023,20,False
104,Ford Maverick XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12755847,31446,"$26,990",False,2025-07-22,26990,31446,2022,20,False
105,2022 Ford Maverick LARIAT PKG,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12707275,10700,"$32,900",False,2025-07-22,32900,10700,2022,20,False
106,"2023 Ford Maverick XLT, Solo 19k millas!",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12761590,19273,"$28,987",False,2025-07-22,28987,19273,2023,20,False
107,Ford Maverick XLT FX4 Off-Road 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12765511,13158,"$31,990",False,2025-07-22,31990,13158,2022,20,False
108,Ford Maverick XLT 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12765383,7332,"$32,995",False,2025-07-22,32995,7332,2024,20,False
